Representative,RepresentativeLink,Constituency,ConstituencyLink,Province,Caucus,CaucusHomepage
"Gill, Parm",ProfileMP.aspx?Key=170411&Language=E,Brampton—Springdale,ProfileConstituency.aspx?Key=403&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Glover, Shelly (Hon.)",ProfileMP.aspx?Key=170166&Language=E,Saint Boniface,ProfileConstituency.aspx?Key=595&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Godin, Yvon",ProfileMP.aspx?Key=170451&Language=E,Acadie—Bathurst,ProfileConstituency.aspx?Key=323&Language=E,New Brunswick,NDP,http://www.ndp.ca/
"Goguen, Robert",ProfileMP.aspx?Key=170129&Language=E,Moncton—Riverview—Dieppe,ProfileConstituency.aspx?Key=329&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Goldring, Peter",ProfileMP.aspx?Key=170747&Language=E,Edmonton East,ProfileConstituency.aspx?Key=522&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Goodale, Ralph (Hon.)",ProfileMP.aspx?Key=170466&Language=E,Wascana,ProfileConstituency.aspx?Key=35&Language=E,Saskatchewan,Liberal,http://www.liberal.ca/
"Goodyear, Gary (Hon.)",ProfileMP.aspx?Key=170422&Language=E,Cambridge,ProfileConstituency.aspx?Key=407&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Gosal, Bal (Hon.)",ProfileMP.aspx?Key=170433&Language=E,Bramalea—Gore—Malton,ProfileConstituency.aspx?Key=402&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Gourde, Jacques",ProfileMP.aspx?Key=170238&Language=E,Lotbinière—Chutes-de-la-Chaudière,ProfileConstituency.aspx?Key=366&Language=E,Québec,Conservative,http://www.conservative.ca/
"Gravelle, Claude",ProfileMP.aspx?Key=170294&Language=E,Nickel Belt,ProfileConstituency.aspx?Key=446&Language=E,Ontario,NDP,http://www.ndp.ca/
"Grewal, Nina",ProfileMP.aspx?Key=170620&Language=E,Fleetwood—Port Kells,ProfileConstituency.aspx?Key=546&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Groguhé, Sadia",ProfileMP.aspx?Key=170303&Language=E,Saint-Lambert,ProfileConstituency.aspx?Key=389&Language=E,Québec,NDP,http://www.ndp.ca/
"Harper, Stephen (Right Hon.)",ProfileMP.aspx?Key=170287&Language=E,Calgary Southwest,ProfileConstituency.aspx?Key=517&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Harris, Dan  ",ProfileMP.aspx?Key=170336&Language=E,Scarborough Southwest,ProfileConstituency.aspx?Key=471&Language=E,Ontario,NDP,http://www.ndp.ca/
"Harris, Jack ",ProfileMP.aspx?Key=170508&Language=E,St. John's East,ProfileConstituency.aspx?Key=306&Language=E,Newfoundland and Labrador,NDP,http://www.ndp.ca/
"Harris, Richard  M.",ProfileMP.aspx?Key=170512&Language=E,Cariboo—Prince George,ProfileConstituency.aspx?Key=541&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Hassainia, Sana",ProfileMP.aspx?Key=170636&Language=E,Verchères—Les Patriotes,ProfileConstituency.aspx?Key=395&Language=E,Québec,NDP,http://www.ndp.ca/
"Hawn, Laurie (Hon.)",ProfileMP.aspx?Key=170581&Language=E,Edmonton Centre,ProfileConstituency.aspx?Key=521&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Hayes, Bryan",ProfileMP.aspx?Key=170430&Language=E,Sault Ste. Marie,ProfileConstituency.aspx?Key=466&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Hiebert, Russ",ProfileMP.aspx?Key=170506&Language=E,South Surrey—White Rock—Cloverdale,ProfileConstituency.aspx?Key=562&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Hillyer, Jim",ProfileMP.aspx?Key=170740&Language=E,Lethbridge,ProfileConstituency.aspx?Key=528&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Hoback, Randy",ProfileMP.aspx?Key=170601&Language=E,Prince Albert,ProfileConstituency.aspx?Key=28&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Holder, Ed",ProfileMP.aspx?Key=170265&Language=E,London West,ProfileConstituency.aspx?Key=250&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Hsu, Ted",ProfileMP.aspx?Key=170105&Language=E,Kingston and the Islands,ProfileConstituency.aspx?Key=430&Language=E,Ontario,Liberal,http://www.liberal.ca/
"Hughes, Carol",ProfileMP.aspx?Key=170613&Language=E,Algoma—Manitoulin—Kapuskasing,ProfileConstituency.aspx?Key=398&Language=E,Ontario,NDP,http://www.ndp.ca/
"Hyer, Bruce",ProfileMP.aspx?Key=170584&Language=E,Thunder Bay—Superior North,ProfileConstituency.aspx?Key=477&Language=E,Ontario,Independent
"Jacob, Pierre",ProfileMP.aspx?Key=170131&Language=E,Brome—Missisquoi,ProfileConstituency.aspx?Key=342&Language=E,Québec,NDP,http://www.ndp.ca/
"James, Roxanne",ProfileMP.aspx?Key=170515&Language=E,Scarborough Centre,ProfileConstituency.aspx?Key=468&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Jean, Brian",ProfileMP.aspx?Key=170650&Language=E,Fort McMurray—Athabasca,ProfileConstituency.aspx?Key=510&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Jones, Yvonne",ProfileMP.aspx?Key=194231&Language=E,Labrador,ProfileConstituency.aspx?Key=575&Language=E,Newfoundland and Labrador,Liberal,http://www.liberal.ca/
"Julian, Peter",ProfileMP.aspx?Key=170651&Language=E,Burnaby—New Westminster,ProfileConstituency.aspx?Key=540&Language=E,British Columbia,NDP,http://www.ndp.ca/
